District,Others animal bites, Dog bites,Total bites,Male,Female,Under 15yrs,cat2,cat3,ARV ,RIG
Munsiganj,1091,1206,2297,1003,1294,893,2189,97,2383,238
Tangail,15507,6061,21568,9763,12164,7626,20054,1270,22437,1018
Gazipur,2310,2780,5090,3147,1943,2608,4080,1010,5090,434
Madaripur,2439,793,3232,1456,1776,1209,3032,200,3232,28
Rajbari,1558,1784,3342,1394,1848,1884,6,12,,48
Faridpur,1231,803,2034,1094,940,882,1746,288,2034,288
Narayanganj,1631,2814,4445,2413,2032,1782,2644,278,2922,495
Manikganj,9328,14484,23812,12456,11356,13067,10206,13606,23812,555
Shariyatpur,850,970,1820,850,970,942,1579,103,1682,84
Narsingdi,1166,1815,2981,1903,1078,978,2530,238,2768,
Kishoregang,1905,3044,4949,2632,2117,2395,4543,426,4969,506
Gopalganj,1274,1030,2304,1168,1137,998,1241,180,1421,10
Mymensingh,583,460,1043,589,454,363,1019,24,1043,42
Sherpur,1365,1197,2562,1687,885,1365,802,179,981,0
Jamalpur,2580,1383,3963,1528,2435,2419,3310,653,3963,618
Netrokona,1113,1676,2789,1683,1106,1040,2505,284,2789,284
Rajshahi,6258,11118,17376,11202,6154,5335,15523,666,16189,
Pabna,979,1039,2018,1060,958,832,1097,874,1971,889
Natore,985,1616,2601,1492,1109,1067,2575,26,2601,45
Chapainababganj,183,397,580,336,244,200,105,14,,14
Naoga,769,1234,2003,1253,730,1330,1909,99,,43
Joypurhat,3605,3755,7360,509,420,929,2421,144,,3
Sirajganj,1959,3554,5513,3348,2165,1786,5177,336,5513,71
Bagura,3618,2621,6239,3430,2809,1879,4983,1256,6239,1773
Rangpur,697,506,1203,413,,,1149,54,947,18
Gaibandha,1330,1890,3220,1520,1515,2100,2905,165,,50
Kurigram,0,0,0,0,0,0,0,0,0,0
Lalmonirhat,1037,1511,2548,1586,962,738,1452,995,2447,809
Nilphamari,3209,2136,5345,2787,2558,1548,5229,116,,5
Dinajpur,2501,2282,4783,2547,2236,1247,4086,697,4783,20
Thakurgaon,1557,1391,2948,1798,1150,938,2477,471,,428
Panchagar,1853,464,2317,1070,1246,710,2263,52,,8
Kustia,2571,2867,5438,3168,2270,3272,1695,1281,,69
Meherpur,1071,1183,2254,943,1311,805,1653,9,1662,14
Chuadanga,1557,2284,3841,2130,1644,1294,2279,1536,3815,161
Meherpur,0,0,0,0,0,0,0,0,0,0
Jhinaidoho,8630,1630,10260,4851,5409,4063,10087,177,10264,156
Magura,1129,1199,2328,,,,,,,
Narail,355,641,996,571,425,396,519,27,,
Jossore ,0,0,0,0,0,0,0,0,0,0
Satkhira,1491,2310,3801,2040,1819,1366,3293,506,,506
Khulna,3392,2916,6308,3201,3105,2064,,,,47
Bagerhat,1219,765,1984,790,1235,680,1603,430,,
Barisal,3989,2008,5997,3076,2921,2253,5822,175,5997,224
pirojpur,1584,800,2384,1098,1286,825,2349,45,2384,70
Jhalokathi,1327,788,2115,1110,1252,895,778,220,998,
Bhola,6200,1162,7362,3500,3867,4017,710,6407,,250
Potuakhali,962,816,1778,668,1114,1202,1574,187,1761,389
Barguna,2787,891,3678,1989,1689,1366,1349,2092,,37
sylhet,1043,907,1950,1273,677,799,1901,49,1950,0
Hobiganj,542,580,1122,764,423,521,904,283,1187,
Moulovibazar,314,536,850,450,400,459,770,80,,850
sunamganj,499,381,878,435,433,329,492,145,637,64
chattagram,722,1070,1792,1164,628,714,1216,507,1723,0
Rangamai,285,665,950,677,273,260,0,6,,12
khagrachhari,8630,1630,10260,4851,5413,4063,10087,177,10264,156
bandarban,448,778,1226,709,517,548,971,75,1046,32
coxsbazar,1217,1164,2381,1428,1013,1126,2271,182,2453,172
Feni,711,744,1455,636,699,782,950,385,1335,385
Noakhali,950,1501,,1306,1289,1281,1124,1327,,310
Laxmipur,770,1028,1798,960,835,728,1687,108,1795,205
Chandpur,946,861,1807,1045,762,736,1602,205,1807,205
Comilla,500,7070,7570,3411,4159,4280,7456,114,7570,114
Brahmmonbaria,453,1688,2141,1309,830,1210,1939,92,2031,92
