Districts,AttackDogs,AttackOtherAnimals,VictimMale,VictimFemale,AgeLess15yr,AgeMore15yr,BiteCategoryI,BiteCategoryII,BiteCategoryIII,NumRIGUsed,RabiesPatients,Percent_Humen_to_Dog,Coverage,Human_Popula,Est_dogs,Dogs_Vac,Non_Vacci_Dogs,@_merge
Bagerhat,1544,3594,2134,3127,1570,3568,0,3980,1161,1161,0,1.61382654016264,84.2945519261484,1677316,26398,22175,4223,3
Bandarban,1051,415,991,478,633,831,888,364,214,299,0,2.81434827925474,87.0300299389084,462135,19122,17857,1265,3
Barguna,3474,4592,2900,5130,3279,4707,1868,7486,1112,741,0,2.17826528727747,87.0047066718028,904296,19514,16894,2620,3
Barisal,4765,7976,6914,5827,4412,8329,739,11768,234,292,0,1.31789286901124,84.1167396169614,3479200,38605,32552,6053,3
Bhola,2251,4304,2100,4455,2338,4207,105,6403,47,36,0,1.15356717430817,77.0821354692455,1901251,19188,14713,4475,3
Bogra,4591,7249,5740,6130,3520,8350,0,9181,2961,3101,0,1.539830118499,83.5421493319326,3609984,50974,42577,8397,3
Brahamanbaria,3646,602,2632,1628,2439,1809,0,3978,227,227,0,.810108836658672,80.9262075239754,3460051,27733,22120,5613,3
Chandpur,1290,908,1239,959,982,1216,0,1872,316,518,0,.791286736191399,82.441093823252,3283172,21372,17599,3773,3
Chittagong,7795,3590,7922,3461,4477,6927,0,6193,5193,6569,18,.708221641955942,85.1970945938377,6366653,21122,17963,3187,3
Chuadanga,5299,2189,5394,2364,2517,5252,20,5041,2624,1050,1,1.31285315289155,80.6120999151118,1496332,20556,16488,4068,3
Comilla,2080,420,1463,1067,900,1630,0,2315,215,215,0,.752445760164833,81.0620682495958,7986418,53790,43517,10273,3
Cox'S Bazar,4233,2316,3779,2566,3334,3084,2346,3911,440,410,0,2.35911092095958,82.9980416556603,2624944,40405,37188,3217,3
Dhaka,90069,35670,85430,40338,30893,94872,403,76268,49085,42,61,.946311742120215,84.9861237890865,56288059,153782,132857,20925,3
Dinajpur,3047,3135,2752,3427,2105,4067,148,5584,588,0,0,1.52151897394535,82.2664988279109,2805890,40492,33128,7364,3
Faridpur,2864,1515,2594,1785,1375,3004,0,3575,804,1197,0,1.52049015459718,79.2311064016877,1941864,28420,22424,5996,3
Feni,1941,684,1245,1370,1545,1080,0,2196,429,379,0,1.19286585802538,81.5627851086409,1560676,15421,12687,2734,3
Gaibandha,7319,8494,9795,5804,10991,4822,500,14519,940,302,0,1.29604635389267,78.5206709581216,6919605,85346,66533,18813,3
Gazipur,13772,6194,5434,3414,7588,12348,0,13626,662,189,0,1.12721160872937,80.1396248977334,7990011,81290,64673,16617,3
Gopalganj,1755,1909,2026,1638,1349,2214,136,2353,1264,1978,0,1.80268245733158,83.5913951513765,1926887,33327,27820,5507,3
Habiganj,1314,865,1409,819,963,1266,0,1945,284,0,0,1.06109882343665,87.0124139231668,4110804,36960,32656,4304,3
Jamalpur,3173,4433,4538,2968,4756,2850,0,7189,417,378,0,.884426910477412,82.1219206869488,4658310,40612,35401,5151,3
Jessore,7923,7967,9169,6413,4915,10881,0,13842,1723,1200,0,1.11411417891874,79.412262868572,2801940,30392,23893,6499,3
Jhalokati,1675,4937,2581,3991,2612,3988,0,5570,1048,734,0,1.52010314314795,83.8080872758514,729355,11221,9488,1733,3
Jhenaidah,4550,1748,2607,3691,1712,4586,0,6174,92,73,0,1.32450753490474,83.5952400687369,2173340,30346,25060,5286,3
Joypurhat,14821,6973,13211,8529,13137,8603,7266,9521,5883,690,0,1.69997456596912,82.6198470028862,1096768,17253,14524,2729,3
Khagrachhari,1043,128,840,328,317,761,0,823,336,336,0,2.33012231466572,93.581226504178,685167,18922,17918,1004,3
Khulna,5312,6058,6283,5082,3887,7478,0,11309,66,66,0,1.32397836938393,84.3708171225889,3555093,32864,27731,5133,3
Kishoreganj,9397,4448,7070,6426,4717,8705,0,12276,1094,1935,0,1.4666345168155,83.5223450429504,5763840,76186,63092,13094,3
Kurigram,3282,2726,3059,2950,2506,3502,0,4554,1454,1040,0,1.22597881298581,83.3533628933658,1920551,22829,19208,3621,3
Kushtia,5792,4152,5773,4171,5733,4211,3301,4050,2778,0,0,1.07945045486004,81.5485770021151,2566213,26552,21525,5027,3
Lakshmipur,1576,900,1361,1115,1084,1388,0,2223,248,0,0,1.18446753652629,74.5382585751979,63995,758,565,193,3
Lalmonirhat,4340,2767,4400,2507,2171,4736,0,4967,1940,1060,0,1.36870455533166,80.5711798129007,1171810,16528,12867,3661,3
Madaripur,3748,4433,3803,4378,3218,4963,0,5253,2928,200,0,1.41867678182793,84.0223758806779,2730742,41260,34383,6877,3
